140,CMRS,110,CMRS,201,Regular
141,CMRS,110,INTS,101,Regular
142,CMRS,111,CMRS,201,Regular
143,CMRS,111,INTS,101,Regular
144,COMM,102,COMM,101,Regular
145,COMM,105,COMM,202,Regular
146,COMM,105,HRM,243,Regular
147,COMM,105,BAC,28,Regular
148,COMM,201,ENT,230,Regular
149,COMM,203,ENT,300,Regular
150,COMM,204,COMM,200,Regular
151,COMM,204,MKT,251,Regular
152,COMM,204,BAC,25,Regular
153,COMM,204,ENT,210,Regular
154,COMM,210,ACC,230,Regular
155,COMM,210,COMM,301,Regular
156,COMM,210,COMM,302,Regular
157,COMM,304,COMM,208,Regular
158,COMM,304,BAC,29,Regular
159,CREE,101,CREE,101,Regular
160,CREE,110,CREE,110,Regular
161,DRAM,101,DRAM,100,Regular
162,DRAM,111,DRAM,211,Regular
163,DRAM,118,DRAM,116,Regular
164,DRAM,119,DRAM,117,Regular
165,ENG,110,ZZZZ,999,Other
166,ENG,111,ZZZZ,999,Other
167,ENG,112,ZZZZ,999,Other
168,ENG,113,ZZZZ,999,Other
169,ENG,114,ZZZZ,999,Other
170,ENG,202,ENG,200,Regular
171,ENG,242,ENG,342,Regular
172,ENG,290,ENG,390,Regular
173,ESL,115,ESL,105,Regular
174,ESL,116,ESL,106,Regular
175,FREN,103,HSCH,999,Other
176,FREN,106,HSCH,999,Other
177,FREN,122,HSCH,999,Other
178,FREN,125,HSCH,999,Other
179,FREN,218,FREN,215,Other
180,GEOG,130,GEOG,113,Regular
181,GEOG,130,GEOG,114,Regular
182,GEOG,150,NRTH,101,Regular
183,GEOL,121,GEOE,118,Regular
184,GEOL,121,GEOL,103,Regular
185,GEOL,121,GEOL,105,Regular
186,GEOL,121,GEOL,108,Regular
187,GEOL,121,GEOL,110,Regular
188,GEOL,122,GEOL,103,Regular
189,GEOL,122,GEOL,105,Regular
190,GEOL,122,GEOL,109,Regular
191,GEOL,122,GEOL,110,Regular
192,GERM,114,HSCH,999,Fluency
193,GERM,117,HSCH,999,Fluency
194,HEB,114,HEB,111,Regular
195,HEB,117,HEB,111,Regular
196,HIST,115,ZZZZ,999,Other
197,HIST,125,ZZZZ,999,Other
198,HIST,135,ZZZZ,999,Other
199,HIST,145,ZZZZ,999,Other
200,HIST,155,ZZZZ,999,Other
201,HIST,165,ZZZZ,999,Other
202,HIST,175,ZZZZ,999,Other
203,HIST,185,ZZZZ,999,Other
204,HIST,195,ZZZZ,999,Other
205,INTS,201,INCC,201,Regular
206,INTS,203,INTS,200,Regular
207,INTS,380,INCC,380,Regular
208,LING,253,LING,342,Regular
209,LIT,110,LIT,100,Regular
210,LIT,111,LIT,100,Regular
211,MATH,110,MATH,104,Regular
212,MATH,110,MATH,121,Regular
213,MATH,110,MATH,123,Regular
214,MATH,110,MATH,125,Regular
215,MATH,110,MATH,176,Regular
216,MATH,116,MATH,112,Regular
217,MATH,116,MATH,124,Regular
218,MATH,116,MATH,128,Regular
219,MATH,116,MATH,177,Regular
220,MATH,124,MATH,112,Regular
221,MATH,124,MATH,116,Regular
222,MATH,124,MATH,128,Regular
223,MATH,124,MATH,177,Regular
224,MATH,164,MATH,264,"Previous Name"
225,MATH,176,MATH,110,Regular
226,MATH,176,MATH,123,Regular
227,MATH,176,MATH,125,Regular
228,MATH,177,MATH,116,Regular
229,MATH,177,MATH,124,Regular
230,MATH,223,MATH,225,Regular
231,MATH,223,MATH,276,Regular
