111,"Computer Science",All,INDG,107,C2,1ofa
112,"Computer Science",All,IS,110,C2,1ofa
113,"Computer Science",All,JPNS,114,C2,1ofa
114,"Computer Science",All,JPNS,117,C2,1ofa
115,"Computer Science",All,LATN,112,C2,1ofa
116,"Computer Science",All,LATN,113,C2,1ofa
117,"Computer Science",All,LING,110,C2,1ofa
118,"Computer Science",All,LING,111,C2,1ofa
119,"Computer Science",All,LING,112,C2,1ofa
120,"Computer Science",All,LING,113,C2,1ofa
121,"Computer Science",All,LIT,110,C2,1ofa
122,"Computer Science",All,LIT,111,C2,1ofa
123,"Computer Science",All,MUS,111,C2,1ofa
124,"Computer Science",All,PHIL,110,C2,1ofa
125,"Computer Science",All,PHIL,115,C2,1ofa
126,"Computer Science",All,PHIL,120,C2,1ofa
127,"Computer Science",All,PHIL,121,C2,1ofa
128,"Computer Science",All,PHIL,133,C2,1ofa
129,"Computer Science",All,PHIL,140,C2,1ofa
130,"Computer Science",All,POLS,111,C2,1ofa
131,"Computer Science",All,POLS,112,C2,1ofa
132,"Computer Science",All,PSY,120,C2,1ofa
133,"Computer Science",All,PSY,121,C2,1ofa
134,"Computer Science",All,RLST,111,C2,1ofa
135,"Computer Science",All,RLST,112,C2,1ofa
136,"Computer Science",All,RLST,113,C2,1ofa
137,"Computer Science",All,RUSS,114,C2,1ofa
138,"Computer Science",All,RUSS,117,C2,1ofa
139,"Computer Science",All,SNSK,114,C2,1ofa
140,"Computer Science",All,SNSK,117,C2,1ofa
141,"Computer Science",All,SOC,111,C2,1ofa
142,"Computer Science",All,SOC,112,C2,1ofa
143,"Computer Science",All,SPAN,114,C2,1ofa
144,"Computer Science",All,SPAN,117,C2,1ofa
145,"Computer Science",All,UKR,114,C2,1ofa
146,"Computer Science",All,UKR,117,C2,1ofa
147,"Computer Science",All,WGST,112,C2,1ofa
148,"Computer Science",All,ART,110,C2,1ofa
149,"Computer Science",All,ART,111,C2,1ofa
150,"Computer Science",All,ART,112,C2,1ofa
151,"Computer Science",All,ART,136,C2,1ofa
152,"Computer Science",All,ART,141,C2,1ofa
153,"Computer Science",All,ART,151,C2,1ofa
154,"Computer Science",All,ART,152,C2,1ofa
155,"Computer Science",All,ART,161,C2,1ofa
156,"Computer Science",All,ARTH,120,C2,1ofa
157,"Computer Science",All,ARTH,121,C2,1ofa
158,"Computer Science",All,DRAM,101,C2,1ofa
159,"Computer Science",All,DRAM,104,C2,1ofa
160,"Computer Science",All,DRAM,108,C2,1ofa
161,"Computer Science",All,DRAM,110,C2,1ofa
162,"Computer Science",All,DRAM,111,C2,1ofa
163,"Computer Science",All,DRAM,113,C2,1ofa
164,"Computer Science",All,DRAM,118,C2,1ofa
165,"Computer Science",All,DRAM,119,C2,1ofa
166,"Computer Science",All,DRAM,121,C2,1ofa
167,"Computer Science",All,INTS,110,C2,1ofa
168,"Computer Science",All,INTS,111,C2,1ofa
169,"Computer Science",All,INTS,112,C2,1ofa
170,"Computer Science",All,INTS,201,C2,1ofa
171,"Computer Science",All,INTS,203,C2,1ofa
172,"Computer Science",All,INTS,380,C2,1ofa
173,"Computer Science",All,MUS,101,C2,1ofa
174,"Computer Science",All,MUS,111,C2,1ofa
175,"Computer Science",All,MUS,120,C2,1ofa
176,"Computer Science",All,MUS,121,C2,1ofa
177,"Computer Science",All,MUS,125,C2,1ofa
178,"Computer Science",All,MUS,133,C2,1ofa
179,"Computer Science",All,MUS,134,C2,1ofa
180,"Computer Science",All,MUS,155,C2,1ofa
181,"Computer Science",All,MUS,156,C2,1ofa
182,"Computer Science",All,MUS,175,C2,1ofa
183,"Computer Science",All,MUS,184,C2,1ofa
184,"Computer Science",All,BIOL,120,C3,3ofa
185,"Computer Science",All,BIOL,121,C3,3ofa
186,"Computer Science",All,CHEM,112,C3,3ofa
187,"Computer Science",All,CHEM,115,C3,3ofa
188,"Computer Science",All,CHEM,250,C3,3ofa
189,"Computer Science",All,GEOG,120,C3,3ofa
190,"Computer Science",All,GEOL,121,C3,3ofa
191,"Computer Science",All,GEOL,122,C3,3ofa
192,"Computer Science",All,ASTR,113,C3,3ofa
193,"Computer Science",All,PHYS,115,C3,3ofa
194,"Computer Science",All,PHYS,117,C3,3ofa
195,"Computer Science",All,STAT,242,C3,1ofa
196,"Computer Science",All,STAT,245,C3,1ofa
197,"Computer Science",All,EE,216,C3,1ofa
198,"Computer Science",All,ME,251,C3,1ofa
199,"Computer Science",All,CMPT,116,C4,1ofa
200,"Computer Science",All,CMPT,141,C4,1ofa
201,"Computer Science",All,CMPT,117,C4,1ofb
202,"Computer Science",All,CMPT,145,C4,1ofb
203,"Computer Science",All,CMPT,214,C4,0
204,"Computer Science",All,CMPT,215,C4,1ofc
205,"Computer Science",All,CME,331,C4,1ofc
206,"Computer Science",All,CMPT,260,C4,0
207,"Computer Science",All,CMPT,270,C4,0
208,"Computer Science",All,CMPT,280,C4,0
209,"Computer Science",All,PHIL,232,C4,0
210,"Computer Science",3YR,MATH,164,C3,1ofa
211,"Computer Science",3YR,MATH,266,C3,1ofa
212,"Computer Science",3YR,MATH,124,C3,1ofa
213,"Computer Science",3YR,BINF,300,C4,0
214,"Computer Science",3YR,CME,332,C4,1ofa
215,"Computer Science",3YR,CME,334,C4,1ofa
216,"Computer Science",3YR,CME,341,C4,1ofa
217,"Computer Science",3YR,CME,342,C4,1ofa
218,"Computer Science",3YR,CME,433,C4,1ofa
219,"Computer Science",3YR,CME,435,C4,1ofa
220,"Computer Science",4YR,MATH,164,C1,1ofa
221,"Computer Science",4YR,MATH,266,C1,1ofa
222,"Computer Science",4YR,MATH,112,C3,2ofa
223,"Computer Science",4YR,MATH,116,C3,2ofa
224,"Computer Science",4YR,MATH,211,C3,2ofa
225,"Computer Science",4YR,MATH,223,C3,2ofa
226,"Computer Science",4YR,MATH,225,C3,2ofa
227,"Computer Science",4YR,MATH,276,C3,2ofa
228,"Computer Science",4YR,MATH,327,C3,2ofa
229,"Computer Science",4YR,MATH,328,C3,2ofa
230,"Computer Science",4YR,MATH,361,C3,2ofa
231,"Computer Science",4YR,MATH,362,C3,2ofa
232,"Computer Science",4YR,MATH,364,C3,2ofa
233,"Computer Science",4YR,STAT,241,C3,2ofa
234,"Computer Science",4YR,STAT,344,C3,2ofa
235,"Computer Science",4YR,STAT,345,C3,2ofa
236,"Computer Science",4YR,STAT,348,C3,2ofa
237,"Computer Science",4YR,PHIL,243,C3,2ofa
238,"Computer Science",4YR,AREC,230,C3,1ofa
239,"Computer Science",4YR,COMM,102,C3,1ofa
240,"Computer Science",4YR,COMM,105,C3,1ofa
241,"Computer Science",4YR,COMM,201,C3,1ofa
242,"Computer Science",4YR,COMM,203,C3,1ofa
243,"Computer Science",4YR,COMM,204,C3,1ofa
244,"Computer Science",4YR,COMM,205,C3,1ofa
245,"Computer Science",4YR,COMM,210,C3,1ofa
246,"Computer Science",4YR,COMM,304,C3,1ofa
247,"Computer Science",4YR,ECON,111,C3,1ofa
248,"Computer Science",4YR,ECON,114,C3,1ofa
249,"Computer Science",4YR,ENT,210,C3,1ofa
250,"Computer Science",4YR,ENT,220,C3,1ofa
251,"Computer Science",4YR,ENT,230,C3,1ofa
252,"Computer Science",4YR,CMPT,317,C4,6ofa
253,"Computer Science",4YR,CMPT,332,C4,6ofa
254,"Computer Science",4YR,CMPT,340,C4,6ofa
255,"Computer Science",4YR,CMPT,353,C4,6ofa
256,"Computer Science",4YR,CMPT,360,C4,6ofa
257,"Computer Science",4YR,CMPT,370,C4,6ofa
258,"Computer Science",4YR,CMPT,381,C4,6ofa
259,"Computer Science",4YR,CMPT,412,C4,2ofa
260,"Computer Science",4YR,CMPT,423,C4,2ofa
261,"Computer Science",4YR,CMPT,432,C4,2ofa
262,"Computer Science",4YR,CMPT,433,C4,2ofa
263,"Computer Science",4YR,CMPT,434,C4,2ofa
264,"Computer Science",4YR,CMPT,435,C4,2ofa
265,"Computer Science",4YR,CMPT,436,C4,2ofa
266,"Computer Science",4YR,CMPT,438,C4,2ofa
267,"Computer Science",4YR,CMPT,440,C4,2ofa
268,"Computer Science",4YR,CMPT,442,C4,2ofa
269,"Computer Science",4YR,CMPT,463,C4,2ofa
270,"Computer Science",4YR,CMPT,470,C4,2ofa
271,"Computer Science",4YR,CMPT,479,C4,2ofa
272,"Computer Science",4YR,CMPT,480,C4,2ofa
273,"Computer Science",4YR,CMPT,481,C4,2ofa
274,"Computer Science",4YR,CMPT,484,C4,2ofa
275,"Computer Science",4YR,CMPT,485,C4,2ofa
276,"Computer Science",4YR,CMPT,487,C4,2ofa
277,"Computer Science",4YR,CMPT,498,C4,2ofa
278,"Computer Science",4YR,CMPT,499,C4,2ofa
279,"Computer Science",4YR,BINF,300,C4,1ofa
280,"Computer Science",4YR,CME,332,C4,1ofa
281,"Computer Science",4YR,CME,334,C4,1ofa
282,"Computer Science",4YR,CME,341,C4,1ofa
283,"Computer Science",4YR,CME,342,C4,1ofa
284,"Computer Science",4YR,CME,433,C4,1ofa
285,"Computer Science",4YR,CME,435,C4,1ofa
286,"Computer Science",4YR,CMPT,306,C4,1ofa
287,"Computer Science",4YR,CMPT,317,C4,1ofa
288,"Computer Science",4YR,CMPT,332,C4,1ofa
289,"Computer Science",4YR,CMPT,340,C4,1ofa
290,"Computer Science",4YR,CMPT,350,C4,1ofa
291,"Computer Science",4YR,CMPT,352,C4,1ofa
292,"Computer Science",4YR,CMPT,353,C4,1ofa
293,"Computer Science",4YR,CMPT,355,C4,1ofa
294,"Computer Science",4YR,CMPT,360,C4,1ofa
295,"Computer Science",4YR,CMPT,364,C4,1ofa
296,"Computer Science",4YR,CMPT,370,C4,1ofa
