124,CMPT,487,CE,318,1,,
125,CMPT,487,CMPT,317,2,,
126,CMPT,487,CMPT,332,2,,
127,CMPT,487,CMPT,340,2,,
128,CMPT,487,CMPT,370,2,,
129,CMPT,489,MATH,164,1,,
130,CMPT,489,MATH,266,1,,
131,CMPT,489,EE,216,1,,
132,CMPT,489,CE,318,1,,
133,CMPT,489,STAT,245,0,,
134,CMPT,489,CMPT,317,2,,
135,CMPT,489,CMPT,487,2,,
136,CMPT,811,CMPT,370,1,,
137,CMPT,811,ZZZZ,999,1,,permission of instructor
138,CMPT,817,ZZZZ,999,0,,permission of instructor required
139,CMPT,820,ZZZZ,999,,,Open to graduate students in computer science who have at least one undergraduate course (3 credit units) of Artificial Intelligence.
140,CMPT,821,ZZZZ,999,,,Open to graduate students in computer science who have at least one undergraduate course (3 credit units) in Programming Languages.
141,CMPT,832,CMPT,332,0,,
142,CMPT,840,ZZZZ,999,0,,permission of instructor required
143,CMPT,846,ZZZZ,999,0,,permission of instructor required
144,CMPT,851,ZZZZ,999,0,,permission of instructor required
145,CMPT,856,CMPT,816,1,,
146,CMPT,856,CMPT,826,1,,
147,CMPT,856,CMPT,999,1,,or equivalent
148,CMPT,857,ZZZZ,999,,,"Open to students in computer science, life sciences, and natural sciences, but subject to permission of the instructors."
149,CMPT,865,ZZZZ,999,0,,Previous course in operating systems
150,CMPT,865,CMPT,815,1,,
151,CMPT,865,ZZZZ,999,1,,or equivalent
152,CMPT,866,CMPT,481,1,,
153,CMPT,866,CMPT,811,1,,
154,CMPT,866,ZZZZ,999,1,,permission of instructor
155,CMPT,867,CMPT,481,1,,
156,CMPT,867,CMPT,811,1,,
157,CMPT,867,ZZZZ,999,1,,or equivalent
158,CMPT,868,ZZZZ,999,0,,permission of instructor required
159,CMPT,868,ZZZZ,999,0,,Experience in web programming or web-based information systems
160,CMPT,873,CMPT,812,1,,
161,CMPT,873,ZZZZ,999,1,,permission of instructor
162,CMPT,874,CMPT,812,1,,
163,CMPT,874,ZZZZ,999,1,,permission of instructor
164,CMPT,876,CMPT,829,1,,
165,CMPT,876,CMPT,485,1,,
166,CMPT,880,ZZZZ,999,0,,Admission to the M.Sc. program in computer science.
167,CMPT,890,ZZZZ,999,,,Admission to the Ph.D. program in computer science.
168,INDG,201,ZZZZ,999,,,"3 credit units 100-level INDG and 3 credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST."
169,INDG,210,NS,107,1,,
170,INDG,210,INDG,107,1,,
171,INDG,210,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
172,INDG,212,NS,107,1,,
173,INDG,212,INDG,107,1,,
174,INDG,212,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
175,INDG,214,NS,107,1,,
176,INDG,214,INDG,107,1,,
177,INDG,214,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
178,INDG,215,NS,107,1,,
179,INDG,215,INDG,107,1,,
180,INDG,215,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
181,INDG,220,NS,107,1,,
182,INDG,220,INDG,107,1,,
183,INDG,220,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
184,INDG,221,NS,107,1,,
185,INDG,221,INDG,107,1,,
186,INDG,221,ZZZZ,999,0,,"3 additional credit units from ANTH, ARCH, ECON, GEOG, INDG, LING, NS, POLS, PSY, SOC, or WGST"
